temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,year,month,day,id
28.2,15.6,21.9,0.0,0.0,21.0,23.98,2020,5,20,"d5a8957d-bdbc-4782-9aa4-f6577805af3c"
28.9,13.7,21.3,0.1,1.0,23.3,25.02,2020,5,21,"341efd13-4255-4e81-a56e-86bd7cadf0c0"
28.4,13.1,21.2,0.0,0.0,17.9,26.07,2020,5,22,"593cc9ac-6008-4a6b-8278-41a93ae87912"
29.4,12.2,21.5,0.0,0.0,25.3,25.98,2020,5,23,"db236fbb-7950-4858-ae4a-560337dd71cd"
28.8,15.2,21.9,0.0,0.0,24.5,26.28,2020,5,24,"a73db6cc-b51c-4857-8d41-9eaa8c0937ea"
29.4,11.0,21.7,0.0,0.0,25.8,29.71,2020,5,25,"4d8e75a0-e9bd-4f18-9ee6-f801249c423b"
30.6,10.8,22.0,0.0,0.0,28.9,30.32,2020,5,26,"eb1ec1a9-ef67-4a31-978b-a1debc4b961b"
29.5,13.1,21.6,0.2,1.0,21.9,25.34,2020,5,27,"f2805d37-fb5e-4def-be9f-45af336c2945"
27.4,13.0,19.7,2.9,4.0,24.3,23.31,2020,5,28,"59c92acc-4f43-4dac-a7a2-2c4c3aaad225"
25.9,11.7,18.3,0.5,3.0,24.7,23.97,2020,5,29,"934de9c8-e48a-426d-89c7-d93b96e2ba7e"
25.1,11.1,17.2,0.1,1.0,18.7,24.6,2020,5,30,"949151d5-9677-4592-a042-980cec6b97fd"
23.8,11.5,17.1,8.3,5.0,14.0,20.88,2020,5,31,"82926af8-25c9-49b7-bb40-444fd42edb7f"
23.8,13.9,18.5,6.9,7.0,10.8,26.08,2020,7,1,"2cc327fb-800e-4bb8-9985-ae17eca60a74"
23.6,13.4,18.0,7.5,11.0,15.7,24.79,2020,7,2,"0c8f245c-4ee9-4eb6-bef6-03454b2e982c"
24.1,13.1,17.9,1.8,8.0,13.2,25.61,2020,7,3,"0dae2f9f-e933-4dbd-85ec-b57942ffd95c"
22.4,12.7,17.4,1.2,8.0,9.9,22.9,2020,7,4,"b99bff66-cebc-457a-ade7-22d4aa4fc839"
22.9,13.5,17.2,14.8,11.0,15.4,19.09,2020,7,5,"1e59f02b-8d66-4a1e-abba-53acd9dbec51"
20.9,13.9,17.2,6.0,13.0,12.7,17.03,2020,7,6,"4107418d-20db-4f15-8748-a8e6efc765c3"
23.2,13.3,17.9,5.0,8.0,17.3,22.27,2020,7,7,"bc433f2e-2739-420f-be5d-db98681802d3"
22.2,13.8,17.4,2.4,10.0,18.9,18.16,2020,7,8,"c9d79882-32df-4cd9-a42d-9bd82c53a63f"
22.3,14.0,16.7,8.2,9.0,13.0,18.08,2020,7,9,"57f5beb5-e254-4dfb-b5e7-febd72638e7f"
25.2,10.8,17.7,0.0,0.0,14.9,26.37,2020,7,10,"e79442db-c919-4b8c-9387-7fa7e0bd665d"
23.0,12.6,17.1,2.4,10.0,12.1,17.28,2020,7,11,"906e161e-9495-43ec-898b-48fc955f4c9b"
23.5,12.1,17.3,2.1,5.0,15.8,25.11,2020,7,12,"c52c611e-736d-4712-a100-8472395f0650"
24.4,13.0,18.1,1.1,4.0,14.2,27.72,2020,7,13,"045eb6a4-6779-4dae-b03f-91d7f3365869"
24.9,13.0,18.0,1.5,3.0,14.8,25.1,2020,7,14,"3bdc8b93-0761-4916-b1c3-5c0ee6c4ae7b"
24.6,14.2,18.3,3.5,7.0,10.0,25.51,2020,7,15,"9725b66d-22d5-4c3d-9efb-ed7672fdab29"
25.8,13.1,18.9,2.3,2.0,11.0,25.63,2020,7,16,"c3c44829-83e5-4abe-8d25-b184c0338bbd"
23.8,12.3,18.0,0.4,4.0,10.8,26.39,2020,7,17,"22baedf2-67e8-4df2-b3c4-89c4a4d669a6"
24.3,11.1,18.2,0.2,2.0,19.4,25.01,2020,7,18,"3c1ff18c-8cf8-4e04-9cba-4e0b5ec83daf"
25.6,13.3,18.2,4.2,4.0,17.6,25.75,2020,7,19,"dcc9a757-91fd-4db8-93fc-d94b68584362"
24.5,13.8,18.2,2.9,6.0,19.7,24.81,2020,7,20,"9accd02e-43aa-4ef8-8cf8-a2ebb22288e3"
25.4,14.6,19.1,0.6,2.0,13.8,25.0,2020,7,21,"67c1ec12-93fb-48b3-989a-14444c68db98"
23.9,14.0,18.5,2.3,6.0,17.1,24.54,2020,7,22,"a08b6e92-417c-4f0c-a8f0-3346d7e1b6d0"
25.3,13.5,18.4,9.1,8.0,17.6,24.42,2020,7,23,"8748851c-a034-47be-9e81-39638de15a68"
22.8,14.4,17.9,5.3,8.0,18.5,20.5,2020,7,24,"38f1df67-7cb1-49fd-930c-ddb6eacedd6d"
23.6,14.1,18.3,0.6,4.0,14.3,21.27,2020,7,25,"d4b9c795-0fd7-4e6a-a11b-86d5648896d5"
23.3,13.8,18.5,0.1,1.0,11.5,17.49,2020,7,26,"3b527453-199c-46fa-bba1-c2bcb4a408b2"
22.6,12.7,17.9,0.2,1.0,15.0,18.01,2020,7,27,"39f5fed9-7587-4182-91d8-563dd38c1030"
22.2,14.4,18.0,4.5,13.0,13.7,14.14,2020,7,28,"a51b3baa-ffe5-4e16-afbe-5472a96d0503"
23.6,14.2,17.9,1.1,5.0,13.4,18.49,2020,7,29,"cd997805-8cc0-491f-8b2e-cf119843daff"
24.2,14.1,18.4,6.8,15.0,9.4,23.51,2020,7,30,"2c80193d-e0ba-4ac1-b6a8-b6ce69a85de0"
22.2,13.8,17.2,13.7,17.0,12.1,22.81,2020,7,31,"1d9e986b-47d5-40e5-b5b2-1883df095ed0"
22.8,13.4,17.0,7.5,7.0,20.8,21.88,2020,8,1,"1ae8829f-df24-44a9-a982-75121ecbaaae"
20.8,13.1,16.7,11.6,13.0,13.6,19.06,2020,8,2,"c25134e6-318f-41f0-987f-85fda22c6aa0"
21.0,13.7,16.8,9.4,11.0,12.4,19.66,2020,8,3,"f99aaae2-f1e1-4bf3-8e0e-74b359947c20"
22.0,14.3,17.3,20.6,14.0,11.5,21.21,2020,8,4,"8a8889a6-ea72-499a-9b17-ea3cb2d4d08e"
24.1,13.4,18.3,1.5,4.0,15.9,25.68,2020,8,5,"fb42897b-3631-46f3-b780-4f5c3879eb08"
24.1,12.9,17.9,4.0,7.0,12.6,24.83,2020,8,6,"577cd558-d938-46cd-b6d2-1e46afe0d6fb"
25.2,12.9,18.1,1.0,9.0,18.8,24.98,2020,8,7,"a1c386d3-b4d3-4494-a213-8926fc958abe"
20.1,13.7,16.6,14.4,15.0,13.0,12.3,2020,8,8,"a8d45c0c-8bd6-4e6e-b586-75d271e18c42"
20.7,13.5,16.6,16.6,22.0,13.3,18.04,2020,8,9,"97bf588f-6764-40ce-8ca2-925eab8eba4c"
22.4,14.5,17.3,27.9,21.0,9.7,22.08,2020,8,10,"a7765f6f-eb85-44b7-80f7-f2665e3e92ca"
21.8,13.7,17.2,7.9,12.0,13.0,22.2,2020,8,11,"c9eb574b-7c93-4d96-a283-b166e8a53dbf"
20.6,13.6,16.8,1.4,9.0,10.7,15.45,2020,8,12,"634217ad-b4b8-47fb-b087-05be915da0b6"
22.6,11.5,16.8,0.0,0.0,17.1,22.38,2020,8,13,"6b7429ba-8b68-4669-ac7f-e649d0e3b1c0"
21.8,13.2,16.5,12.0,12.0,13.2,23.76,2020,8,14,"a6e6b496-638f-41b5-9711-f97d68a17705"
20.8,11.7,16.0,9.2,7.0,8.2,21.5,2020,8,15,"1fe1d6c3-05f6-46fe-855d-50815ae4d76d"
21.7,12.9,16.7,1.8,7.0,19.3,21.4,2020,8,16,"866ec101-8a65-471d-9c8c-c107777f8747"
22.1,11.8,16.6,7.7,9.0,11.5,23.36,2020,8,17,"7d39c1af-8f72-4923-95d7-8b4de4f9ad33"
22.0,13.0,17.1,2.6,11.0,11.8,21.83,2020,8,18,"1ab436f5-2a35-4ca2-8bd0-3f0f300ad1c9"
20.8,14.0,16.7,10.8,9.0,11.8,18.23,2020,8,19,"0cb28145-c086-46d2-af9f-3e4acbf22599"
20.8,14.2,16.7,15.0,16.0,10.8,18.75,2020,8,20,"6000fccd-3724-46ed-ae68-847c7e7314f9"
22.5,12.3,17.1,1.1,7.0,11.5,23.38,2020,8,21,"33b74544-1c77-42e9-afbd-e2846ea15835"
23.8,12.5,17.5,0.8,5.0,14.5,26.78,2020,8,22,"a0cd1ee2-7efe-41cb-bf8a-bafe92aface2"
23.6,12.0,17.4,0.5,3.0,18.8,25.25,2020,8,23,"2a82c58d-533d-4997-922e-22dadaf1de51"
22.8,14.0,17.1,10.4,15.0,13.4,16.84,2020,8,24,"ff133d01-93a5-4f5d-a64d-482491beb268"
21.0,13.8,16.8,8.0,18.0,14.3,14.16,2020,8,25,"db9665cf-3072-4493-aae0-cf777588a53e"
20.8,14.2,17.2,8.5,17.0,8.7,18.24,2020,8,26,"be4cd164-a416-4a5d-a9d0-996ae8ea0f48"
23.2,12.7,16.9,7.6,10.0,12.7,20.15,2020,8,27,"79777032-a35c-44bd-bec9-ece5b44eb401"
21.8,14.0,17.3,11.1,8.0,10.1,20.72,2020,8,28,"05e9ce0b-7c85-4f83-8973-4319fffe78a6"
20.9,14.3,17.3,17.1,14.0,7.7,17.88,2020,8,29,"925565bf-95ac-434f-b7ed-182ed0c7d731"
24.0,13.1,17.7,2.0,3.0,17.6,22.25,2020,8,30,"05f7bdde-824f-4015-9a1a-b80cd4d42ea6"
23.6,11.5,17.1,0.4,2.0,17.4,24.73,2020,8,31,"7ea8ea72-f659-44f6-9576-95dec4d70c42"
21.5,7.7,14.0,0.0,0.0,18.3,25.16,2020,10,1,"9ed7bea3-e1d5-41d5-82e3-a0b67452ec97"
19.1,4.7,11.5,0.0,0.0,16.4,26.76,2020,10,2,"203e9d59-3e8b-4024-88e2-6262afb5e5d6"
20.8,8.4,13.5,0.7,7.0,18.2,22.82,2020,10,3,"b3a69e03-714f-43f6-9cb1-ae71d851716d"
21.7,9.6,14.0,0.3,3.0,21.4,21.12,2020,10,4,"cc46110a-12dc-40e9-a247-43a0269e6373"
20.5,5.2,12.5,0.0,0.0,15.1,26.07,2020,10,5,"7662dc87-2a22-41f2-a71b-ff3c330f5e7d"
21.9,6.6,13.5,0.0,0.0,13.3,26.0,2020,10,6,"fdd204a8-3810-4b21-aaf7-b871169fcb13"
22.3,5.6,14.0,0.0,0.0,14.5,26.4,2020,10,7,"11811adf-b734-4b04-8045-233c687b63d7"
24.2,7.4,15.6,0.0,0.0,15.8,26.26,2020,10,8,"30311993-0274-4f51-a0d2-80b60e781033"
23.5,12.4,17.8,3.8,6.0,10.7,21.99,2020,10,9,"b66764b0-7522-4154-a771-ad93f8ec1f32"
25.8,12.1,18.7,1.3,3.0,16.2,23.12,2020,10,10,"bbb67ec5-b78c-4c95-bf3a-604916e2f87e"
25.2,14.0,18.9,2.9,4.0,13.7,23.76,2020,10,11,"792dfd20-e897-4582-81cc-103dd28ecbe0"
24.6,12.8,18.2,1.2,5.0,16.6,20.27,2020,10,12,"a4a67c96-a6ad-4858-96e4-194dec7e8343"
